BLOCKNUMBER,CURRENT INDEX,TIMESTAMP,TICK CUMULATIVE,SECONDS LIQUIDITY CUMULATIVE,INITIALIZED,CONSULT_CUMULATIVE_1800_0,CONSULT_CUMULATIVE_1800_1,CONSULT_WEIGHT_1800_0,CONSULT_WEIGHT_1800_1
13876530,16,1640464497,3974451341364,393895573595451274581753992391,True,3974103541764,3974451341364,393895497510118043003069005220,393895573595451274581753992391
13876624,17,1640465721,3974687845092,393895618794047070432659809152,True,3974340045492,3974687845092,393895549248144640476574796496,393895618794047070432659809152
13876653,18,1640466109,3974762813288,393895633121706522058600541916,True,3974415015628,3974762813288,393895565648760914839091338175,393895633121706522058600541916
13876658,19,1640466176,3974775758693,393895635595812664478543915872,True,3974427961502,3974775758693,393895568480826096236742390475,393895635595812664478543915872
13876685,20,1640466424,3974823672045,393895706653153447183805761924,True,3974475880558,3974823672045,393895578285174857974780984816,393895706653153447183805761924
13876706,21,1640466763,3974889162438,393895803783953952575272559552,True,3974541382816,3974889162438,393895590803413399472703429164,393895803783953952575272559552
13876828,22,1640468150,3975157067036,393896201189323571979297480823,True,3974809375319,3975157067036,393895685450559826537880856247,393896201189323571979297480823
13876863,23,1640468628,3975249393692,393896338146617499935407006682,True,3974901717448,3975249393692,393895822407853754493990382106,393896338146617499935407006682
13876876,24,1640468823,3975287057942,393896394018316905691560474344,True,3974939382478,3975287057942,393895878279553160250143849768,393896394018316905691560474344
13878406,25,1640489855,3979349325646,393902420139249735760379612177,True,3979001661046,3979349325646,393901904400485990318962987600,393902420139249735760379612177
13878415,26,1640489936,3979364970634,393902443347494104305243360282,True,3979017305953,3979364970634,393901927608730358863826735706,393902443347494104305243360282
13878420,27,1640490048,3979386605562,393902475437906070688264839144,True,3979038938417,3979386605562,393901959699142325246848214568,393902475437906070688264839144
13878442,28,1640490387,3979452100023,393902572568706576079731636772,True,3979104415250,3979452100023,393902056829942830638315012197,393902572568706576079731636772
13882951,29,1640550367,3991043354983,393904787447608402172322232644,True,3990695501383,3991043354983,393904720979085172979813678583,393904787447608402172322232644
13883297,0,1640554812,3991902360123,393904951698255914662408082929,True,3991554506523,3991902360123,393904885185057821865522924208,393904951698255914662408082929
13883314,1,1640555032,3991944874243,393904959827646792670916268994,True,3991597021963,3991944874243,393904893314448699874031110274,393904959827646792670916268994
13883329,2,1640555176,3991972701523,393904965148702640094667081691,True,3991624850251,3991972701523,393904898635504547297781922971,393904965148702640094667081691
13883349,3,1640555414,3992018691929,393904973943225499031144119344,True,3991670844227,3992018691929,393904907430027406234258960624,393904973943225499031144119344
