Timestamp,OAT,Success,Quote,Observations,Regular_Quote,Difference
1640444108,193238,true,4056952039,28,4076878889,19926850
1640446833,193237,true,4057357734,28,4076471242,19113508
1640448159,193237,true,4057357734,28,4076471242,19113508
1640449247,193237,true,4057357734,28,4084223512,26865778
1640450095,193236,true,4057763470,28,4087900784,30137314
1640452217,193235,true,4058169247,28,4085857446,27688199
1640452667,193235,true,4058169247,28,4083406790,25237543
1640452716,193235,true,4058169247,28,4082998490,24829243
1640452760,193234,true,4058575063,28,4082590231,24015168
1640452839,193234,true,4058575063,28,4081773835,23198772
1640452863,193234,true,4058575063,28,4081365699,22790636
1640452902,193234,true,4058575063,28,4080957603,22382540
1640453184,193235,true,4058169247,28,4076063635,17894388
1640455033,193235,true,4058169247,28,4054924172,-3245075
1640455124,193235,true,4058169247,28,4055329664,-2839583
1640455778,193235,true,4058169247,28,4056546385,-1622862
1640455845,193234,true,4058575063,28,4056546385,-2028678
1640455981,193235,true,4058169247,28,4056952039,-1217208
1640456148,193233,true,4058980921,28,4057357734,-1623187
1640456295,193232,true,4059386819,28,4058169247,-1217572
1640456356,193232,true,4059386819,28,4058169247,-1217572
1640456376,193233,true,4058980921,28,4058575063,-405858
1640456639,193231,true,4059792758,28,4060604757,811999
1640456706,193230,true,4060198737,28,4061010817,812080
1640457066,193230,true,4060198737,28,4064667189,4468452
1640457087,193230,true,4060198737,28,4064667189,4468452
1640457278,193228,true,4061010817,28,4066699930,5689113
1640459661,193227,true,4061416918,28,4080957603,19540685
1640460249,193226,true,4061823060,28,4080957603,19134543
1640461012,193227,true,4061416918,28,4080957603,19540685
1640461047,193225,true,4062229242,28,4080957603,18728361
1640462107,193223,true,4063041729,28,4080957603,17915874
1640465171,193223,true,4063041729,28,4080957603,17915874
1640465510,193224,true,4062635465,28,4080957603,18322138
1640465539,193223,true,4063041729,28,4081365699,18323970
1640465689,193221,true,4063854378,28,4082182012,18327634
1640465721,193221,true,4063854378,28,4082590231,18735853
1640466062,193221,true,4063854378,28,4085040397,21186019
1640466117,193219,true,4064667189,28,4085448901,20781712
1640466147,193218,true,4065073656,28,4085448901,20375245
1640466176,193218,true,4065073656,28,4085857446,20783790
1640466184,193218,true,4065073656,28,4085857446,20783790
1640466185,193217,true,4065480163,28,4085857446,20377283
1640466368,193215,true,4066293300,28,4087900784,21607484
1640466391,193214,true,4066699930,28,4088309574,21609644
1640466424,193214,true,4066699930,28,4088718405,22018475
1640466537,193212,true,4067513310,28,4090354137,22840827
1640466630,193210,true,4068326853,28,4091990524,23663671
1640466734,193210,true,4068326853,28,4093627566,25300713
1640466738,193209,true,4068733686,28,4093627566,24893880
1640466763,193207,true,4069547474,28,4094036929,24489455
1640466791,193204,true,4070768460,28,4094855777,24087317
1640467708,193203,true,4071175537,28,4111267181,40091644
